Id,Manx,English
1113,Skee,Tired
2113,Feayr,Cold
4113,Keoie,
4187,apag,monkey 
4191,arkan-sonney,hedgehog
4195,ard-nieu,snake 
4199,assyl,donkey
4203,booa,cow
4207,cabbyl,horse
4211,cabbylawin,hippo
4215,craitnag,bat
4219,croggeeyl,crocodile
4223,crammag,snail
4227,crooag-heeidey,silkworm
4231,dhiane,worm
4235,doo oallee,spider
4239,doourchoo,beaver
4243,eayn,lamb
4247,famman,tail
4251,feeaih,deer
4255,fiorag,squirrel
4259,foillycan,butterfly
4263,jolgane-leaghyr,lizard
4267,kionesnaue,tadpole
4271,kyaghan,mole
4275,lheiy,calf
4279,lhemeen,moth
4283,lion,lion
4287,lion spottagh,leopard
4291,lugh,mouse
4295,maaig,paw or flipper
4299,moddey oaldey,wolf
4303,moddey-keyrragh,sheep dog
4307,muc,pig
4311,mucawin,bear
4315,mucawin bane,polar bear
4319,mucawin sheenagh,panda
4323,praddag,caterpillar
4327,rannag,frog
4331,quaillag,fly
4335,rannag-ghoo,toad
4339,roddan puissagh,hampster
4343,shellan,bee
4347,shellan cabbyl,wasp
4351,shynnagh,fox
4355,sniegan,ant
4359,stroin eairkagh,rhinoceros
4363,tarroo,bull
4374,ayr,father
4378,ben,woman
4382,braar,brother
4386,caayrphuttee,push chair
4390,carbyd clienney,pram
4394,carrey,friend
4398,cloan,children
4402,babban,baby
4406,dooinney,man
4410,dooinney-poosee,bridgroom
4414,dooinney-poost,husband
4418,inneen,daughter
4422,mac,son
4426,moidyn y phoosee,bridegroom
4430,moir,mother
4434,naim,uncle
4438,mwarree,grandmother
4442,naunt,aunt
4446,oikan,baby
4450,ollan,wool
4454,paitchey,child
4458,paitchyn,children
4462,shaner,grandfather
4466,shuyr,sister
4470,sleih,people
4474,jishag,dad
4478,mumig,mum
5113,Kys t'ou?,How are you?
6113,Braew,Fine
6589,ben-daunsin,female dancer
6593,ben-rein,queen 
6597,ben-ynsee,female teacher
6601,boandyr,nurse
6605,cloieder,actor
6609,coageyder,cook
6613,bochilley,shepherd
6617,dooinney spoar,spaceman
6621,dooinney-aitt,clown
6625,eeasteyr,fisherman
6629,eirinagh,farmer
6633,fer y phost,postman
6637,feeackleyr,dentist
6641,fer-lhee,doctor
6645,fer-obbee,magician
6649,freilleyder-beishtyn,zoo keeper
6653,fuinneyder,baker
6657,immanagh,driver
6661,laue-chluickeyder,juggler
6665,meoir-shee,policeman
6669,obbrinagh,mechanic
6673,peinteyr,painter
6677,ratch-immanagh,racing driver
6681,ree,king
6685,roosteyr,thief
6689,seyr,joiner
6693,shapp eeastee,fishmongers
6697,shappeyder,shopkeeper
6701,sidoor,solider
6705,skibbyltagh,acrobat
6709,slaader,decorator
6713,spoar-troailtagh,spaceman
6717,stiureyder,pilot
6721,thummeyder,diver
6725,ymmyrkagh,porter
6847,aarey,ladder
6851,boalley,wall 
6855,brasnag,firewood 
6859,drillin,sparkler
6863,breeck,brick
6867,dulliag,leaf
6871,faiyr,grass
6875,garey,garden
6879,garreish,garage
6883,giareyder faiyr,lawnmower
6887,kibbin,peg
6891,kiebbey,spade
6895,leaystane,swing
6899,losserey,plant
6903,lossreeyn,plants
6907,maidjer,stick
6911,ooir,soil
6915,piob,pipe
6919,pioban,hose pipe
6923,rass,seed
6927,raistyl,rake
6931,speiy,hoe
6935,spreiyder,sprinkler
6939,tead,rope
6943,stoandey,barrel
6947,thammag,bush
6951,thie glionney,greenhouse
6955,voalley,wall
6962,aalin,beautiful
6966,bog,soft
6970,boght,poor
6974,booiagh,pleased
6978,braew,fine
6982,creoi,hard
6986,doillee,difficult
6990,injil,low
6994,jesh,nice
6998,lane,full
7002,liauyr,long
7006,moal,slow
7010,mooar,big
7014,mooarane,many
7018,noa,new
7022,olk,bad
7026,ommidjagh,foolish
7030,roauyr,fat
7034,shenn,old
7038,skee,tired
7042,sollagh,dirty
7046,tappee,quick
7050,thanney,thin
7054,trimshagh,sad
7058,trome,heavy
7062,ymmydoil,useful
7066,çheh,hot
7070,çheu-mooie,outside
7074,çheu-sthie,inside
7078,çheu-veealloo,in front
7085,bastag,basket
7089,brelleein,sheet
7093,caayr,chair
7097,caslys,picture
7101,chiasseyder,heater
7105,clag,clock
7109,claare,record
7113,clooisag,pillow
7114,Feer vie,Very good
7117,cochaslys-soilshey,photograph
7121,cressad,lamp
7125,cubbyrt,cupboard
7129,dhull,plug
7133,doalan-slat,blind
7137,faastguin,sponge
7141,jalloo,picture
7145,kere,comb
7149,kishtagan,chest of drawers
7153,kishteig hayrn,drawer
7157,kishtey argid,money box
7161,lhiabbee,bed
7165,ollan-cadee,cotton wool
7169,pabyrvoallley,wallpaper
7173,press eaddee,wardrobe
7177,scudlagh,luggage
7181,shamraig,camera
7185,shamyr lhiabbagh,bedroom
7189,çhellvane,phone
7193,çhellveeish,television
7200,bolg,stomach
7204,beeal,mouth
7208,boyn,heel
7212,cass,foot
7216,cleaysh,ear
7220,cleeau,chest
7224,dreeym,back
7228,eddin,face
7232,feeacklyn,teeth
7236,folt,hair
7240,geayltyn,shoulders
7244,kione,head
7248,laue,hand
7252,lieckan,cheek
7256,lurgey,leg
7260,mair,finger
7264,meillyn,lips
7268,mair-coshey,toe
7272,mollee,eyebrow
7276,mwannal,neck
7280,ordaag,thumb
7284,roih,arm
7288,smeggyl,chin
7292,sooill,eye
7296,stroin,nose
7300,thoin,bottom
7304,uillin,elbow
7308,çhengey,tongue
7315,calmane,dove
7319,eean,bird or chicken
7323,eean-guiy,gosling
7327,eean thunnag,duckling
7331,eean-kiark,chicken
7335,fedjag,feather
7339,hullad,owl
7343,foillan,gull
7347,kellagh frangagh,turkey
7351,kiark,hen
7355,ollay,swan
7359,parrad,parrot
7363,skian,wing
7367,thunnag,duck
7371,urley,eagle
7375,urley,eagle
7382,bayrn,cap
7386,boandey,tie
7390,braagyn,shoes
7394,braagyn-jeen,wellingtons
7398,braagyn-roie,running shoes
7402,breechyn-gorrym,jeans
7406,braagynquellagh,roller skates
7410,carraneyn-thie,slippers
7414,carraneyn,sandals
7418,clesp,buckle
7422,cooat,coat
7426,cooat shamyr,dressing gown
7430,cruinneen,bead
7434,cryss,belt
7438,eaddagh,clothes
7442,eaddagh-breagey,fancy dress
7446,eaddagh-oie,pyjamas
7450,fo-hroosyn,underpants
7454,fo-lheiney,vest
7458,gansee-foshlee,cardigan
7462,jaggad,jacket
7466,lauenyn,gloves
7470,lheiney,shirt
7474,lheiney T,T Shirt
7478,oashyryn,socks
7482,oashyryn-lheshey,tights
7486,ollan,wool
7490,ooreyder,watch
7494,rhymbyl,skirt
7498,spagey,handbag
7502,sporran,purse
7506,tayrnag,zip
7510,towl-cramman,button-hole
7514,troosyn,trousers
7518,troosyn-cuttagh,shorts
7525,bane,white
7529,daaghyn,colours
7533,daah,colour
7537,dhone,brown
7541,doo,black
7545,dorraghey,dark
7549,geayney,green
7553,glass,natural green
7557,jiarg,red
7561,jiarg gorrym,purple
7565,jiarg-bane,pink
7569,jiarg-bwee,orange
7573,jiarg-gorrym,purple
7577,lheeah,grey
7584,ammyr,canal
7588,arroo,corn
7592,awin,river
7596,baaieagh,cow house
7600,balley,place
7604,billey,tree
7608,blaa,flower
7612,cabbane,tent
7616,cairt,cart
7620,clagh,stone
7624,cooylley ushtey,lock
7628,creagh,haystack
7632,cronk,hill
7636,creg,rock
7640,druight,dew
7644,dubbey,pool
7648,eas,waterfall
7652,eaynin,cliff
7656,faasagh,desert
7660,giat,gate
7664,jeelt,saddle
7668,keeaght,plough
7672,keyll,forest
7676,kionnan,bale
7680,laagh,mud
7684,lhongey mooie,picnic
7688,magher,field
7692,muclagh,pigsty
7696,mwyllin geayee,mill
7700,slieau,mountain
7704,soalt,barn
7708,staabyl,stable
7712,strooan,stream
7716,thie-eirinagh,farm house
7720,thie kirkey,hen house
7724,traagh,hay
7728,çhibbyr,well
7735,arran,bread
7739,awree,soup
7743,bainney,milk
7747,bee,food
7751,berreen,cake
7755,berrishyn-feeyney,grapes
7759,binjean-villish,yoghurt
7763,blennican,spinnach
7767,bonnag,scone
7771,braghtan,sandwich
7775,caashey,cheese
7779,caaylag,sprout
7783,caayl,cabbage
7787,caffee,coffee
7791,collag,cauliflower
7795,corran-bwee,banana
7799,cullyran,pumpkin
7803,feeyn,wine
7807,eeym,butter
7811,feill,meat
7815,finnal,celery
7819,flooyr,flour
7823,glassan,salad
7827,glassyr,lettuce
7831,jingan,jam
7835,jinnair,dinner
7839,jough,a drink
7843,kay,cream
7847,lhune,beer
7851,limon,lemon
7859,melloon,melon
7863,mess,fruit
7867,miljyn,sweets
7871,mill,honey
7875,nannys,pineapple
7879,noirid,orange
7887,ooh,egg
7891,oohagan,omelete
7895,ooyl,apple
7899,ooyl-ghraih,tomato
7903,ooylagh,orchard
7907,pershagh,peach
7911,pannag,pancake
7915,pibbyr,pepper
7919,pishyr,peas
7923,poanrey,bean
7927,plumbys,plum
7931,praase,potato
7935,pronnag,sausage
7939,puiddin,pudding
7943,riojag,icecream
7947,rolley-arran,bread roll
7951,shaddag,grapefruit
7955,shalmane,mushrom
7959,shibbyr,supper
7963,shocklaid,chocolate
7967,shugyr,sugar
7971,shugyr-sneeuit,candy floss
7975,sollan,salt
7979,soo-crouw,raspberry
7983,soo-mess,fruit juice
7987,soo-thallooin,strawberry
7991,spollagyn,chips
7995,tey,tea
7999,unnish,onion
8003,ushtey,water
8007,yskid,ham
8014,aile,fire 
8018,argid,money
8022,boayrd,table
8026,cainle,candle
8030,chimlee,chimney
8034,clooid,duster
8038,cruinnag,lightbulb
8042,curtan,curtain
8046,dhornane,door handle
8050,dorrys,door
8054,gaih,toy
8058,jaagh,smoke
8062,jioleyder,vacuum cleaner
8066,kishtey,box
8070,laare,floor
8074,lout,loft
8078,mullagh y thie,roof
8082,mullagh-shamyr,ceiling
8086,mynjeig,parcel
8090,ogher,key
8094,pabyr,paper
8098,pabyr-aitt,comic
8102,poagey,bag
8106,poodyr niee,washing powder
8110,premmee,toilet
8113,Maynrey,
8114,screeuyn,letter
8118,shamyr,room
8122,shamyr soie,lounge
8126,shamyr oonlee,bathroom
8130,sheeabin,soap
8134,sooslagh feeackle,toothpaste
8138,spooytag,syringe
8142,stoyl,stool
8146,thie,house
8150,thie babban,dolls house
8154,thie veg,toilet
8158,tobbyr oonlee,bath
8162,trogh-eeast,fish tank
8166,uinnag,window
8170,yiarn smoodal,iron
8177,castreycair,middlin
8181,cha mie lhiam,I don't like
8185,ennym,name
8189,faase,weak
8193,kys tou,how are you
8197,maynrey,happy
8201,mie dy liooar,good enough
8205,my sailliu,please plural
8209,my sailt,please
8213,neuchiart,wrong
8217,slane lhiat,goodbye
8221,slane lhiu,goodbye plural
8225,smie lhiam,I Like
8229,çhing,ill
8236,aall,fork
8240,aanrit laue,towel
8244,aanrit-boayrd,table cloth
8252,boteil,bottle
8256,cappan,cup
8260,canastyr,tin
8264,coirrey,kettle
8268,costraayl,jar
8272,foaddan,match
8276,frynnepan,frying pan
8280,meighaghyn,scales
8284,meilley,basin
8288,meilley niee,sink
8292,milleen,pill
8296,panney,pan
8300,moggaid,plate
8304,shamyr aarlee,kitchen
8308,skaal,saucer
8312,skeab,broom
8316,skeabfluigh,mop
8320,sleayst joan,dust pan
8324,spein,spoon
8328,spein tey,tea spoon
8335,boaldyn,May
8339,fastyr,afternoon
8343,fastyr mie ,good afternoon
8347,imbaghyn,seasons
8351,jea,yesterday
8355,jecrean,Wednesday
8359,jeheiney,friday
8363,Jedoonee,sunday
8367,jemayrt,tuesday
8371,jelune,monday
8375,jerdein,thursday
8379,jerrey shiaghtin,weekend
8383,jerrey-arree,April
8387,jerrey-geuree,January
8391,jerrey-fouyir,October
8395,jerrey-souree,July
8399,jesarn,Saturday
8403,jiu,today
8407,kegeesh,fortnight
8411,laa,day 
8415,laa Nollick Beg,New Year's day
8419,laa-ruggyree,birthday
8423,laaoil,daily
8427,mairagh,tomorrow
8431,mayrnt,march
8435,mean-arree,march
8439,mean-fouyir,September
8443,mean-gheuree,December
8447,mean-souree,June
8451,meanoie,midnight
8455,mee,month
8459,mee houney,November
8463,mee ny nollick,December
8467,moghrey mie ,good morning
8471,moghrey,morning
8475,munlaa,midday
8479,noght,tonight
8483,nollick,Christmas
8487,ny keayrtyn,sometimes
8491,nollick ghennal,Happy Christmas
8495,oie,night
8499,oie vie,good night
8503,oie'll Voirrey,Christmas Eve
8507,toshiaght-arree,February
8511,toshiaght-gheuree,November
8515,toshiaght-ouyir,August
8519,toshiaght-souree,May
8523,traa,time
8527,y fouyr,the autumn
8531,y sourey,the summer
8535,yn gheurey,the winter
8539,yn arragh,the spring
8546,ben-chiaullee,female singer
8550,dollan,bodhran
8554,eairk,horn
8558,feddan,whistle
8562,fer-reill y chiaull,conductor
8566,kiaull,music
8570,pianney,piano
8574,possan-kiaullee,band
8664,conning,rabbit
8668,garran,pony
8672,eeast-airhey,Goldfish
8676,kayt,cat
8680,moddey,dog
8684,pishin,kitten
8688,pussag,hampster
8692,quallian,puppy
8696,shligganagh,tortoise
8700,yeeall,dogs lead
8707,abyrlit,alphabet 
8711,boayrd bane,white board
8715,boayrd doo,black board
8719,chaghnoalleeaght,technology
8723,cheer oayleeaght,geography
8727,coearrooder,computer
8731,corran,crescent
8735,cowrey,badge
8739,cray,clay
8743,cronnag,desk
8747,cruinney,globe
8751,driaght-pabyr,paper chains
8755,edd-pabyr,paper hat
8759,ellan,art
8763,far-chiarkyl,ellipse
8767,fareddin,mask
8771,frangish,French
8775,gaelg,Manx
8779,gass-iu,drinking straw
8783,glassage,locker
8787,kaart-çhiassid,temperature chart
8791,kelk,chalk
8795,kelk-daah,colured chalk
8799,kerrin,square
8803,kiap,block
8807,kiap-cherrin,cube
8811,kiarkyl,circle
8815,kishan-pabyr,waste paper basket
8819,lioar,book
8823,lioar-vaght,note book
8827,lioaryn,books
8831,lorg,pole
8835,maddaght,maths
8839,maidjey corragh,see saw
8843,penn,pen
8847,penn-leoaie,pencil
8851,pot slaa,paint pot
8855,reill,ruler
8859,runtag,marble
8863,rhome,rhombus
8867,scoill,school
8871,scryssane,eraser
8875,shamyr bee,cantine
8879,sheanse,science
8883,shuddyryn,scissors
8887,skelloo lioar,bookshelf
8891,skeaban-slaa,paint brush
8895,troorane,triangle
8902,bassag,tennis
8906,bassag-boayrd,table tennis
8910,bluckan,ball
8914,bluckan-baskad,basketball
8918,bluckan-coshey,football
8922,cabbylleaystee,rocking horse
8926,carr ratch,racing car
8930,carryn donkal,bumper cars
8934,coshee-tead,tightrope
8938,criggad,cricket
8942,cront-bleihghyn,jigsaw
8946,dean,target
8950,doarney,boxing
8954,drappeyder-sleityn,mountaineer
8958,etlag,kite
8962,finneig,canoe
8966,gamman,game
8970,jeeshyn,dice
8974,kaart,card
8978,kaayrt,playing card
8982,lheimyraght-cabbyl,show jumping
8986,maghercloie,playing field
8990,mollag,balloon
8994,mollag aeragh,hot air balloon
8998,ratchal-cabbyl,horseracing
9002,ratchal-carr,car racing
9006,ratchal-roar,cycle racing
9010,ratchal-roar-bree,motorcylce racing
9014,rugbee,rugby
9018,scaa tuittym,parachute
9022,sheeal,sking
9026,sheealeyder-ushtey,water skier
9030,skibbyltys,gymnastics
9034,skirraghtyn,skating
9038,skynn,knife
9042,spaaig,paddle
9046,spoyrt,sport or fun
9050,tead skibbylt,skipping rope
9054,tead-ï¿½hionn,tight rope
9058,troggal-trimmid,weight lifting
9065,ainle,angel 
9069,ard-veisht,monster
9073,cliwe,sword
9077,ferrish,fairy
9081,dragan,dragan
9085,foawr,giant
9089,jishag y nollick,Father Christmas
9093,jouyl,devil
9097,scaan,ghost
9101,shennaghys,history
9105,shirrym,sheriff
9109,slat-obbee,magic wand
9113,traen ny scaanyn,ghost train
9114,Moghrey mie,Good morning
9117,trollag,elf
9124,banc,bank
9128,bink,bench
9132,brattagh,flag
9136,cashtal,castle
9140,cassan,footpath
9144,coar,crane
9148,cassan breck,zebra crossing
9152,crou,tire
9156,cughlin,cone
9160,droghad,bridge
9164,cummal rea,flat
9168,fainagh,carriage
9172,feaillerey,festival
9176,keeill,church
9180,feailley ny beishtyn,circus
9184,kishteig-argid,cash till
9188,margher,market
9192,naighyn carr,car wash
9196,orch,rubbish
9200,pairk,park
9204,pemmad,pavement
9208,post soilshey,lamp post
9212,post stiuree,sign post
9216,pryssoon,prison
9220,radio,radio
9224,radling,railing
9228,railley,rail
9232,shapp,shop
9236,shapp gaih,toy shop
9240,sthowran,statue
9244,thie fillym,cinema
9248,thie bee,restaurant
9252,thie oast,inn
9256,thie-lheihys,hospital
9260,troggeyder,lift
9267,barroose,bus
9271,caayr-wheeylagh,wheel chair
9275,car pollys,police car
9279,car-laadee,lorry
9283,carbyd lheeys,ambulance
9287,carbyd tayrn,tow truck
9291,cleiyder,digger
9295,etlan,plane
9299,etlan cassee,helicopter
9303,fainagh bee,restaurant car
9307,farkyltoshee,car bonnet
9311,moogheyder-aile,fire engine
9315,queeyl,wheel
9319,raad,road
9323,raad etlan,runway
9327,raad yiarn,railway
9331,roar bree,motor bike
9335,roar,bike
9339,soilshaghyn mooarey,headlights
9343,scughag,scooter
9347,soilshey reill,traffic light
9351,stashoon,station
9355,taksee,taxi
9359,tayrneyder,tractor
9363,thie troailt,caravan
9367,thiollane,tunnel
9371,toor reill,control tower
9375,traen,train
9379,troggeyder pedryl,petrol pump
9383,traen cooid,goods train
9387,van,van
9394,cadley,sleeping
9398,caggey,fighting
9402,clashtyn,hearing
9406,cloie,playing
9410,coagyrey,cooking
9414,cooney,helping
9418,corlheimeraght,skipping
9422,cosney,winning
9426,crankal,knocking
9430,creck,selling
9434,cryttal,knitting
9438,cummal,living
9442,cur,putting
9446,daunsin,dancing
9450,drappal,climbing
9454,ennaghtyn,fealing
9458,eaishtagh,listening
9462,faarkey,bathe
9466,fakin,seeing
9470,farkiaght,waiting
9474,follaghey,hiding
9478,garaghtee,laughing
9482,geddyn,getting
9486,gee,eating
9490,giu,drinking
9494,jannoo,making or doing
9498,jeeaghyn er,looking at
9502,karraghey,mending
9506,kionnaghey,buying
9510,laccal,wanting
9514,lostey,burning
9518,markiaght,riding
9522,mongey,smiling
9526,oonlaghey,washing
9530,obbraghey,working
9534,paagh,thirsty 
9538,peintal,painting
9542,puttey,pushing
9546,reurey,digging
9550,roie,running
9554,screeu,writing
9558,scuirr,stopping
9562,shassoo,standing
9566,shelg,hunt
9570,shooyl,walking
9574,smooinaghtyn,thinking
9578,snaue,swimming
9582,soie,sitting
9590,tannaghtyn,staying
9594,tayrtyn,catching
9598,tilgey,throw
9602,troggal,building
9606,tuittym,falling
9610,whaaley,sewing
9614,yllagh,call
9618,ymmyrkey,carry
9622,ymmyrt,row
9626,ynsaghey,teaching and learning
9630,çheet,coming
9637,bodjal,cloud
9641,bodjallagh,cloudy
9645,dorrin,storm
9649,dorrinagh,stormy
9653,droghearish,bad weather
9657,emshyr,weather
9661,eayst,moon
9665,feayr,cold
9669,fliaghey,rain
9673,geay,wind
9677,geayagh,windy
9681,kay-broghe,fog
9685,rio,ice
9689,rioeeagh,freezing
9693,rollage,star
9697,sheidey,blowing
9701,sniaghtey,snow
9705,t'eh ceau fliagh,its raining
9709,soilshey,light
9713,t'eh ceau sniaghtey,its snowing
9717,t'eh dorraghey ,its dark
9721,t'eh fliugh,its wet
9725,t'eh gial,its bright
9729,t'eh çheh,its hot
9733,t'eh çhirrym,its dry
9737,tendreil,lightning
9741,çhirrym,dry
9748,bink obbrree,work bench
9752,curneen ooill,oil can
9756,kishtey cullee,tool box
9760,kishtey pooar,battery
9764,lhiackvoalley,wall tile
9768,meinn saue,saw dust
9772,oard,hammer
9776,ogher cassee,spanner
9780,pabyr geinnee,sandpaper
9784,saaue,saw
9788,scrod,screw
9792,scrodeyder,screwdriver
9796,skeaban,brush
9800,streng,string
9804,taggad,drawing pin
9808,traval,trowel
9812,towshan,tape measure
9816,treiney,nail
10113,Fastyr mie,Good afternoon
11113,Oie vie,
12113,Mish...,My name is…
13113,Quoi uss?,
14113,Kys t'eh?,
15113,Kys t'ee?,
17113,Kys ta Voirrey?,How is Voirrey?
18113,Ta mee braew ,I'm fine
21964,Caayr-hraie,deck chair
21968,Partan,crab
21972,Crossag-varrey,starfish
21976,Shlig,shell
21980,Scaa-greiney,sunshade
21984,Cashtal-geinnee,sand castle
21988,Baatey-pooar,power boat
21992,Famlagh,seaweed
21996,Edd-greiney,sun hat
22000,Maidjey-raue,oar
22004,Birling,yacht
22008,Cruick,bucket
22012,Baatey-ymmyrt,rowing boat
22016,Baatey-eeastee,fishing boat
22020,Baatey,boat
22027,Lhong,ship
22031,Perkin,dolphin
22035,Mooir,sea
22039,Raun,seal
22043,Shiaulley,sailing
22047,Slat eeastee,fishing rod
22051,Fovarrane,submarine
22055,Keayn,sea
22059,Toor-soilshey,lighthouse
22063,Lhongaghyn,ships
22067,Shiaulteyr,sailor
22071,Doagh hroailt,tanker
22075,Eeast,fish
22079,Lieen,net
22083,Sharkagh,shark
22087,Ellan,island
22091,Roosteyr-marrey,pirate
22095,Lhong-ooill,oil tanker
22099,Tonn,wave
22113,T’eh maynrey,
24113,T’ee skee,
25113,Ta Voirrey çhing,Voirrey is sick
26113,Vel oo braew?,Are you fine?
27113,Ta,Yes
28113,Cha nel,No
29113,Vel oo keoie?,
29478,Grayse,The Grace
31113,Vel Orry skee?,
32113,Vel eh maynrey?,
33113,Vel ee braew?,
34113,Cha nel mee keoie ta mee maynrey,
48113,Vel Mannin yindyssagh?,
49113,Yindyssagh,Wonderful
50113,Çhing,Sick
51113,"Braew, gura mie ayd","Fine, thank you"
53113,"Ta, t’eh yindyssagh",
54113,Vel yn Moddey Doo keoie?,
55113,"Ta, t’eh keoie",
58113,Vel Purt le Moirrey yindyssagh?,
59113,Gee,Eat
60113,Giu,Drink
61113,Gynsagh,
62113,Jannoo,
63113,Gobbragh,Work
64113,Shooyl,Walk
65113,Cummal,Live
66113,Geearree,
67113,Goll dys,Go
68113,Spollagyn,
69113,Doolish,Douglas
70113,Purt Çhiarn,Port Erin
71113,Purt le Moirrey,Port st. Mary
72113,Purt ny h-inshey,Peel
73113,Rhumsaa,Ramsey
74113,Mannin,Isle of Man
76113,Cre?,
77113,Ta mee gobbragh,I work
78113,T'ou gee,You eat
79113,T'eh giu,
80113,T'ee gynsagh,
81113,Ta Voirrey shooyl,Voirrey is walking
81113,Vel Voirrey shooyl?,Is Voirrey walking?
81480,Baatey sauaillagh,Life boat 
82113,Cha nel mee cummal,
83113,Cha nel eh gobbragh,
84113,Cha nel ee jannoo,
85113,Cha nel Orry gobbragh,
86113,Vel mee giu?,
87113,Vel oo gee?,
88113,Vel eh cummal?,
89113,Vel ee geearree?,
90113,Nagh vel mee giu?,
91113,Nagh vel oo gee?,
92113,Nagh vel eh geearree?,
93113,Nagh vel ee cummal?,
94113,Nagh vel Voirrey shooyl?,
95113,C'raad t'ou cummal?,
96113,Ta mee cummal ayns Mannin,
97113,C’raad t’ou gobbragh?,
98113,Ta mee gobbragh ayns Doolish,
99113,C'raad t'ou geearree cummal?,
100113,C'raad t'ou gynsagh Gaelg?,
102113,C'raad t'ou gee spollagyn?,
106113,C’raad ta Orry gynsagh Gaelg?,
107113,Ta Orry gynsagh Gaelg ayns Kionedroghad,
108113,Cre t'ou jannoo?,
109113,Cre t'ee jannoo?,
114113,Vel oo cummal ayns Doolish?,
115113,Vel eh cummal ayns Colby?,
116113,Vel ee cummal ayns Regaby?,
122113,Thie,House
123113,Kayt,Cat
124113,Moddey,Dog
125113,Argid,
126113,Gleashtan,
127113,Gleashtan mooar,
128113,Thie mooar,
129113,Thie beg,
130113,Folt,
131113,Folt doo,
132113,Folt gorrym,
133113,Folt ruy,
135113,Folt bane,
137113,Gleashtan beg,
138113,Gleashtan tappee,
139113,Gleashtan moal,
140113,Ta moddey aym,
141113,Ta kayt ayd,
142113,Ta gleashtan echey,
143113,Ta folt ec Voirrey ,
144113,Vel kayt ayd?,
145113,Vel gleashtan echey?,
146113,Vel argid eck?,
148113,Cha nel kayt ayd,
149113,Cha nel gleashtan echey,
150113,Cha nel argid eck,
152113,Nagh vel moddey aym?,
153113,Nagh vel kayt ayd?,
154113,Nagh vel gleashtan echey?,
155113,Nagh vel argid eck?,
156113,Vel moddey ayd?,
157113,"Ta, ta kayt aym",
159113,Cha nel kayt aym agh ta moddey aym,
161113,Vel fys ayd?,
167113,Vel fys ayd c'raad ta Voirrey cummal?,
168113,Vel fys ayd c’raad ta Juan cummal?,
169113,"Ta fys aym, t'ee cummal ayns Doolish",
170113,"Ta fys aym, t'eh cummal ayns Rhumsaa ",
171113,Vel Gaelg ayd?,
172113,"Ta, ta Gaelg aym",
176113,Vel moddey aym?,
178113,Vel folt ec Voirrey?,
179113,Cha nel folt ec Voirrey,
180113,er y vaatey,
181113,ayns y thie-lhionney,
182113,er y varroose ,
183113,Jelune,
184113,Jemayrt,
185113,Jecrean,
186113,Jerdein,
187113,Jeheiney,
188113,Jesarn,
189113,Jedoonee,
190113,Jea,
191113,Va mee braew,
192113,V'ou çhing,
193113,V'eh feer vie,
194113,V'ee skee,
195113,Va Juan braew,
196113,Cha row mee feayr,
197113,Cha row oo çheh,
198113,Cha row eh feer vie,
